Year_Week,year,week,Retail Market,Vegetable,mean_farmer_price
2014-w44,2014,w44,Anuradhapura,ASH PLANTAINS,49.0
2014-w45,2014,w45,Anuradhapura,ASH PLANTAINS,56.5
2014-w46,2014,w46,Anuradhapura,ASH PLANTAINS,56.5
2014-w47,2014,w47,Anuradhapura,ASH PLANTAINS,42.5
2014-w48,2014,w48,Anuradhapura,ASH PLANTAINS,50.0
2014-w49,2014,w49,Anuradhapura,ASH PLANTAINS,50.0
2014-w50,2014,w50,Anuradhapura,ASH PLANTAINS,53.75
2014-w51,2014,w51,Anuradhapura,ASH PLANTAINS,57.5
2014-w52,2014,w52,Anuradhapura,ASH PLANTAINS,66.25
2015-w1,2015,w1,Anuradhapura,ASH PLANTAINS,75.0
2015-w2,2015,w2,Anuradhapura,ASH PLANTAINS,85.0
2015-w3,2015,w3,Anuradhapura,ASH PLANTAINS,55.0
2015-w4,2015,w4,Anuradhapura,ASH PLANTAINS,65.0
2015-w5,2015,w5,Anuradhapura,ASH PLANTAINS,65.0
2015-w6,2015,w6,Anuradhapura,ASH PLANTAINS,65.0
2015-w7,2015,w7,Anuradhapura,ASH PLANTAINS,65.0
2015-w8,2015,w8,Anuradhapura,ASH PLANTAINS,57.5
2015-w9,2015,w9,Anuradhapura,ASH PLANTAINS,67.5
2015-w10,2015,w10,Anuradhapura,ASH PLANTAINS,67.5
2015-w11,2015,w11,Anuradhapura,ASH PLANTAINS,62.5
2015-w12,2015,w12,Anuradhapura,ASH PLANTAINS,47.5
2015-w13,2015,w13,Anuradhapura,ASH PLANTAINS,40.0
2015-w14,2015,w14,Anuradhapura,ASH PLANTAINS,32.5
2015-w15,2015,w15,Anuradhapura,ASH PLANTAINS,30.0
2015-w16,2015,w16,Anuradhapura,ASH PLANTAINS,27.5
2015-w17,2015,w17,Anuradhapura,ASH PLANTAINS,31.0
2015-w18,2015,w18,Anuradhapura,ASH PLANTAINS,34.5
2015-w19,2015,w19,Anuradhapura,ASH PLANTAINS,38.0
2015-w20,2015,w20,Anuradhapura,ASH PLANTAINS,34.0
2015-w21,2015,w21,Anuradhapura,ASH PLANTAINS,32.5
2015-w22,2015,w22,Anuradhapura,ASH PLANTAINS,32.5
2015-w23,2015,w23,Anuradhapura,ASH PLANTAINS,42.5
2015-w24,2015,w24,Anuradhapura,ASH PLANTAINS,52.5
2015-w25,2015,w25,Anuradhapura,ASH PLANTAINS,42.5
2015-w26,2015,w26,Anuradhapura,ASH PLANTAINS,40.5
2015-w27,2015,w27,Anuradhapura,ASH PLANTAINS,38.5
2015-w28,2015,w28,Anuradhapura,ASH PLANTAINS,36.5
2015-w29,2015,w29,Anuradhapura,ASH PLANTAINS,34.5
2015-w30,2015,w30,Anuradhapura,ASH PLANTAINS,32.5
2015-w31,2015,w31,Anuradhapura,ASH PLANTAINS,30.71
2015-w32,2015,w32,Anuradhapura,ASH PLANTAINS,28.93
2015-w33,2015,w33,Anuradhapura,ASH PLANTAINS,27.14
2015-w34,2015,w34,Anuradhapura,ASH PLANTAINS,25.36
2015-w35,2015,w35,Anuradhapura,ASH PLANTAINS,23.57
2015-w36,2015,w36,Anuradhapura,ASH PLANTAINS,21.79
2015-w37,2015,w37,Anuradhapura,ASH PLANTAINS,20.0
2015-w38,2015,w38,Anuradhapura,ASH PLANTAINS,20.43
2015-w39,2015,w39,Anuradhapura,ASH PLANTAINS,20.86
2015-w40,2015,w40,Anuradhapura,ASH PLANTAINS,21.29
2015-w41,2015,w41,Anuradhapura,ASH PLANTAINS,21.71
2015-w42,2015,w42,Anuradhapura,ASH PLANTAINS,
2015-w43,2015,w43,Anuradhapura,ASH PLANTAINS,
2015-w44,2015,w44,Anuradhapura,ASH PLANTAINS,
2015-w45,2015,w45,Anuradhapura,ASH PLANTAINS,
2015-w46,2015,w46,Anuradhapura,ASH PLANTAINS,
2015-w47,2015,w47,Anuradhapura,ASH PLANTAINS,24.29
2015-w48,2015,w48,Anuradhapura,ASH PLANTAINS,24.71
2015-w49,2015,w49,Anuradhapura,ASH PLANTAINS,25.14
