vegetable_type,abs_error_pct
TOMATOES,18.493065940186824
GREEN CHILLIES,16.268533806308664
GREEN BEANS,15.573982282526226
BRINJALS,13.76354784242468
PUMPKIN,12.767198503122025
CABBAGE,12.112487749325867
CARROT,11.208681441839518
BEETROOT,11.121573024375094
LEEKS,11.009140023813984
LADIES FINGERS,10.523562864107957
SNAKE GOURD,10.166318473910778
ASH PLANTAINS,6.695309295779266
